Character,Year,importance,Appearance,Series
Hawkeye,2015,0,0,4
Heimdall,2015,0,0,5
Hulk,2015,1,0,6
Iron Man,2015,1,0,7
Nick Fury,2015,0,0,8
Quicksilver,2015,0,0,9
Scarlet Witch,2015,0,0,10
Thanos,2015,0,0,11
Thor,2015,1,0,12
Vision,2015,0,1,16
War Machine,2015,0,0,13
Wasp,2015,0,1,17
Ant-Man,2016,1,0,0
Black Panther,2016,1,1,12
Black Widow,2016,1,0,1
Captain America,2016,1,0,2
Doctor Strange,2016,1,1,13
Falcon,2016,0,0,3
Hawkeye,2016,0,0,4
Iron Man,2016,1,0,5
Scarlet Witch,2016,0,0,6
Sharon Carter,2016,0,0,7
Spider-Man,2016,1,1,14
The Ancient One,2016,0,1,15
Thor,2016,1,0,8
Vision,2016,0,0,9
War Machine,2016,0,0,10
Winter Soldier,2016,0,0,11
Wong,2016,0,1,16
Captain America,2017,1,0,0
Doctor Strange,2017,1,0,1
Drax,2017,0,0,2
Gamora,2017,0,0,3
Groot,2017,0,0,4
Heimdall,2017,0,0,5
Hela,2017,0,1,16
Hulk,2017,1,0,6
Iron Man,2017,1,0,7
Loki,2017,1,0,8
Mantis,2017,0,1,17
Nebula,2017,0,0,9
Odin,2017,0,0,10
Pepper Potts,2017,0,0,11
Rocket Raccoon,2017,0,0,12
Spider-Man,2017,1,0,13
Star-Lord,2017,0,0,14
Thor,2017,1,0,15
Valkyrie,2017,0,1,18
Vulture,2017,0,1,19
Ant-Man,2018,1,0,0
Black Panther,2018,1,0,1
Black Panther,2018,1,0,2
Black Widow,2018,1,0,3
Captain America,2018,1,0,4
Captain Marvel,2018,1,0,5
Doctor Strange,2018,1,0,6
Dr. Hank Pym,2018,0,0,7
Drax,2018,0,0,8
Erik Killmonger,2018,0,1,34
Falcon,2018,0,0,9
Gamora,2018,0,0,10
Groot,2018,0,0,11
Heimdall,2018,0,0,12
Hulk,2018,1,0,13
Iron Man,2018,1,0,14
Loki,2018,1,0,15
M'Baku,2018,0,1,35
Mantis,2018,0,0,16
Nakia,2018,0,0,17
Nebula,2018,0,0,18
Nick Fury,2018,0,0,19
Okoye,2018,0,1,36
Pepper Potts,2018,0,0,20
Red Skull,2018,0,0,21
Rocket Raccoon,2018,0,0,22
Scarlet Witch,2018,0,0,23
Shuri,2018,0,1,37
Spider-Man,2018,1,0,24
Star-Lord,2018,0,0,25
Thanos,2018,0,0,26
Thor,2018,1,0,27
Valkyrie,2018,0,0,28
Vision,2018,0,0,29
War Machine,2018,0,0,30
Wasp,2018,0,0,31
Winter Soldier,2018,0,0,32
Wong,2018,0,0,33
Agent Coulson,2019,0,0,0
Ant-Man,2019,1,0,1
Black Panther,2019,1,0,2
Black Widow,2019,1,0,3
Captain America,2019,1,0,4
Captain Marvel,2019,1,0,5
Captain Marvel,2019,1,0,6
Doctor Strange,2019,1,0,7
Drax,2019,0,0,8
Falcon,2019,0,0,9
Gamora,2019,0,0,10
Groot,2019,0,0,11
Hawkeye,2019,0,0,12
Hulk,2019,1,0,13
Iron Man,2019,1,0,14
Jane Foster,2019,0,0,15
M'Baku,2019,0,0,16
Mantis,2019,0,0,17
Nebula,2019,0,0,18
Nick Fury,2019,0,0,19
Nick Fury,2019,0,0,20
Nick Fury,2019,0,0,21
Okoye,2019,0,0,22
Peggy Carter,2019,0,0,23
Pepper Potts,2019,0,0,24
Red Skull,2019,0,0,25
Rocket Raccoon,2019,0,0,26
Scarlet Witch,2019,0,0,27
Shuri,2019,0,0,28
Spider-Man,2019,1,0,29
Spider-Man,2019,1,0,30
Star-Lord,2019,0,0,31
Thanos,2019,0,0,32
The Ancient One,2019,0,0,33
Thor,2019,1,0,34
Valkyrie,2019,0,0,35
War Machine,2019,0,0,36
Wasp,2019,0,0,37
Winter Soldier,2019,0,0,38
Wong,2019,0,0,39
