hero1,hero2
SCARLET WITCH/WANDA ,BLACK PANTHER/T'CHAL
SCARLET WITCH/WANDA ,IRON MAN/TONY STARK 
SCARLET WITCH/WANDA ,BLACK WIDOW/NATASHA 
SCARLET WITCH/WANDA ,ANT-MAN/DR. HENRY J.
SCARLET WITCH/WANDA ,CAPTAIN AMERICA
SCARLET WITCH/WANDA ,THOR/DR. DONALD BLAK
SCARLET WITCH/WANDA ,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,VISION 
WASP/JANET VAN DYNE ,BLACK PANTHER/T'CHAL
WASP/JANET VAN DYNE ,IRON MAN/TONY STARK 
WASP/JANET VAN DYNE ,BLACK WIDOW/NATASHA 
WASP/JANET VAN DYNE ,ANT-MAN/DR. HENRY J.
WASP/JANET VAN DYNE ,CAPTAIN AMERICA
WASP/JANET VAN DYNE ,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,VISION 
THOR/DR. DONALD BLAK,BLACK PANTHER/T'CHAL
THOR/DR. DONALD BLAK,IRON MAN/TONY STARK 
THOR/DR. DONALD BLAK,BLACK WIDOW/NATASHA 
THOR/DR. DONALD BLAK,ANT-MAN/DR. HENRY J.
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
CAPTAIN AMERICA,VISION 
CAPTAIN AMERICA,BLACK PANTHER/T'CHAL
CAPTAIN AMERICA,IRON MAN/TONY STARK 
CAPTAIN AMERICA,BLACK WIDOW/NATASHA 
CAPTAIN AMERICA,ANT-MAN/DR. HENRY J.
ANT-MAN/DR. HENRY J.,VISION 
ANT-MAN/DR. HENRY J.,BLACK PANTHER/T'CHAL
ANT-MAN/DR. HENRY J.,IRON MAN/TONY STARK 
ANT-MAN/DR. HENRY J.,BLACK WIDOW/NATASHA 
BLACK WIDOW/NATASHA ,VISION 
BLACK WIDOW/NATASHA ,BLACK PANTHER/T'CHAL
BLACK WIDOW/NATASHA ,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,VISION 
IRON MAN/TONY STARK ,BLACK PANTHER/T'CHAL
BLACK PANTHER/T'CHAL,VISION 
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
THOR/DR. DONALD BLAK,IRON MAN/TONY STARK 
THOR/DR. DONALD BLAK,WASP/JANET VAN DYNE 
THOR/DR. DONALD BLAK,VISION 
THOR/DR. DONALD BLAK,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,CAPTAIN AMERICA
SCARLET WITCH/WANDA ,IRON MAN/TONY STARK 
SCARLET WITCH/WANDA ,WASP/JANET VAN DYNE 
SCARLET WITCH/WANDA ,VISION 
VISION ,CAPTAIN AMERICA
VISION ,IRON MAN/TONY STARK 
VISION ,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,CAPTAIN AMERICA
WASP/JANET VAN DYNE ,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,CAPTAIN AMERICA
IRON MAN/TONY STARK ,THOR/DR. DONALD BLAK
IRON MAN/TONY STARK ,ANT-MAN/DR. HENRY J.
IRON MAN/TONY STARK ,WASP/JANET VAN DYNE 
IRON MAN/TONY STARK ,CAPTAIN AMERICA
CAPTAIN AMERICA,THOR/DR. DONALD BLAK
CAPTAIN AMERICA,ANT-MAN/DR. HENRY J.
CAPTAIN AMERICA,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,THOR/DR. DONALD BLAK
WASP/JANET VAN DYNE ,ANT-MAN/DR. HENRY J.
ANT-MAN/DR. HENRY J.,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
THOR/DR. DONALD BLAK,WASP/JANET VAN DYNE 
THOR/DR. DONALD BLAK,IRON MAN/TONY STARK 
THOR/DR. DONALD BLAK,ANT-MAN/DR. HENRY J.
ANT-MAN/DR. HENRY J.,CAPTAIN AMERICA
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
ANT-MAN/DR. HENRY J.,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,CAPTAIN AMERICA
IRON MAN/TONY STARK ,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,CAPTAIN AMERICA
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
THOR/DR. DONALD BLAK,IRON MAN/TONY STARK 
THOR/DR. DONALD BLAK,WASP/JANET VAN DYNE 
THOR/DR. DONALD BLAK,DRAX/ARTHUR DOUGLAS
DRAX/ARTHUR DOUGLAS,CAPTAIN AMERICA
DRAX/ARTHUR DOUGLAS,IRON MAN/TONY STARK 
DRAX/ARTHUR DOUGLAS,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,CAPTAIN AMERICA
WASP/JANET VAN DYNE ,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,CAPTAIN AMERICA
THOR/DR. DONALD BLAK,IRON MAN/TONY STARK 
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
THOR/DR. DONALD BLAK,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,IRON MAN/TONY STARK 
WASP/JANET VAN DYNE ,CAPTAIN AMERICA
CAPTAIN AMERICA,IRON MAN/TONY STARK 
VULTURE/ADRIAN TOOME,SPIDER-MAN/PETER PAR
WONG,DR. STRANGE/STEPHEN 
WONG,DR. STRANGE/STEPHEN 
GAMORA,DR. STRANGE/STEPHEN 
GAMORA,WONG
GAMORA,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,DR. STRANGE/STEPHEN 
SCARLET WITCH/WANDA ,WONG
WONG,DR. STRANGE/STEPHEN 
DR. STRANGE/STEPHEN ,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,DRAX/ARTHUR DOUGLAS
SCARLET WITCH/WANDA ,HELA [ASGARDIAN]
SCARLET WITCH/WANDA ,DR. STRANGE/STEPHEN 
DR. STRANGE/STEPHEN ,DRAX/ARTHUR DOUGLAS
DR. STRANGE/STEPHEN ,HELA [ASGARDIAN]
HELA [ASGARDIAN],DRAX/ARTHUR DOUGLAS
THANOS,DR. STRANGE/STEPHEN 
VULTURE/ADRIAN TOOME,SPIDER-MAN/PETER PAR
VULTURE/ADRIAN TOOME,SPIDER-MAN/PETER PAR
SCARLET WITCH/WANDA ,SPIDER-MAN/PETER PAR
CAPTAIN AMERICA,BUCKY/BUCKY BARNES
CAPTAIN AMERICA,RED SKULL/JOHANN SCH
CAPTAIN AMERICA,BUCKY/BUCKY BARNES
CAPTAIN AMERICA,RED SKULL/JOHANN SCH
RED SKULL/JOHANN SCH,BUCKY/BUCKY BARNES
BUCKY/BUCKY BARNES,CAPTAIN AMERICA
BUCKY/BUCKY BARNES,CAPTAIN AMERICA
CAPTAIN AMERICA,BUCKY/BUCKY BARNES
CAPTAIN AMERICA,HAWK
CAPTAIN AMERICA,THOR/DR. DONALD BLAK
CAPTAIN AMERICA,"KINCAID, DR. JANE FO"
CAPTAIN AMERICA,HELA [ASGARDIAN]
CAPTAIN AMERICA,SCARLET WITCH/WANDA 
CAPTAIN AMERICA,IRON MAN/TONY STARK 
CAPTAIN AMERICA,LOKI [ASGARDIAN]
LOKI [ASGARDIAN],HAWK
LOKI [ASGARDIAN],THOR/DR. DONALD BLAK
LOKI [ASGARDIAN],"KINCAID, DR. JANE FO"
LOKI [ASGARDIAN],HELA [ASGARDIAN]
LOKI [ASGARDIAN],SCARLET WITCH/WANDA 
LOKI [ASGARDIAN],IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,HAWK
IRON MAN/TONY STARK ,THOR/DR. DONALD BLAK
IRON MAN/TONY STARK ,"KINCAID, DR. JANE FO"
IRON MAN/TONY STARK ,HELA [ASGARDIAN]
IRON MAN/TONY STARK ,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,HAWK
SCARLET WITCH/WANDA ,THOR/DR. DONALD BLAK
SCARLET WITCH/WANDA ,"KINCAID, DR. JANE FO"
SCARLET WITCH/WANDA ,HELA [ASGARDIAN]
HELA [ASGARDIAN],HAWK
HELA [ASGARDIAN],THOR/DR. DONALD BLAK
HELA [ASGARDIAN],"KINCAID, DR. JANE FO"
"KINCAID, DR. JANE FO",HAWK
"KINCAID, DR. JANE FO",THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,HAWK
"FURY, COL. NICHOLAS ",IRON MAN/TONY STARK 
"STANE, OBADIAH",IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,"KINCAID, DR. JANE FO"
IRON MAN/TONY STARK ,SPIDER-MAN/PETER PAR
IRON MAN/TONY STARK ,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,"KINCAID, DR. JANE FO"
THOR/DR. DONALD BLAK,SPIDER-MAN/PETER PAR
SPIDER-MAN/PETER PAR,"KINCAID, DR. JANE FO"
IRON MAN/TONY STARK ,CAPTAIN AMERICA
SPIDER-MAN/PETER PAR,VULTURE/ADRIAN TOOME
SPIDER-MAN/PETER PAR,VULTURE/ADRIAN TOOME
IRON MAN/TONY STARK ,"FURY, COL. NICHOLAS "
CAPTAIN AMERICA,IRON MAN/TONY STARK 
"CARTER, SHARON",CAPTAIN AMERICA
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
THOR/DR. DONALD BLAK,"FURY, COL. NICHOLAS "
THOR/DR. DONALD BLAK,"CARTER, SHARON"
"CARTER, SHARON",CAPTAIN AMERICA
"CARTER, SHARON","FURY, COL. NICHOLAS "
"FURY, COL. NICHOLAS ",CAPTAIN AMERICA
ANT-MAN/DR. HENRY J.,THOR/DR. DONALD BLAK
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
ANT-MAN/DR. HENRY J.,SPIDER-MAN/PETER PAR
ANT-MAN/DR. HENRY J.,DR. STRANGE/STEPHEN 
ANT-MAN/DR. HENRY J.,WONG
ANT-MAN/DR. HENRY J.,IRON MAN/TONY STARK 
ANT-MAN/DR. HENRY J.,CAPTAIN AMERICA
CAPTAIN AMERICA,THOR/DR. DONALD BLAK
CAPTAIN AMERICA,WASP/JANET VAN DYNE 
CAPTAIN AMERICA,SPIDER-MAN/PETER PAR
CAPTAIN AMERICA,DR. STRANGE/STEPHEN 
CAPTAIN AMERICA,WONG
CAPTAIN AMERICA,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,THOR/DR. DONALD BLAK
IRON MAN/TONY STARK ,WASP/JANET VAN DYNE 
IRON MAN/TONY STARK ,SPIDER-MAN/PETER PAR
IRON MAN/TONY STARK ,DR. STRANGE/STEPHEN 
IRON MAN/TONY STARK ,WONG
WONG,THOR/DR. DONALD BLAK
WONG,WASP/JANET VAN DYNE 
WONG,SPIDER-MAN/PETER PAR
WONG,DR. STRANGE/STEPHEN 
DR. STRANGE/STEPHEN ,THOR/DR. DONALD BLAK
DR. STRANGE/STEPHEN ,WASP/JANET VAN DYNE 
DR. STRANGE/STEPHEN ,SPIDER-MAN/PETER PAR
SPIDER-MAN/PETER PAR,THOR/DR. DONALD BLAK
SPIDER-MAN/PETER PAR,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,THOR/DR. DONALD BLAK
WASP/JANET VAN DYNE ,ANT-MAN/DR. HENRY J.
RED SKULL/JOHANN SCH,CAPTAIN AMERICA
CAPTAIN AMERICA,RED SKULL/JOHANN SCH
CAPTAIN AMERICA,RED SKULL/JOHANN SCH
RED SKULL/JOHANN SCH,CAPTAIN AMERICA
CAPTAIN AMERICA,RED SKULL/JOHANN SCH
RED SKULL/JOHANN SCH,CAPTAIN AMERICA
CAPTAIN AMERICA,RED SKULL/JOHANN SCH
CAPTAIN AMERICA,"FURY, COL. NICHOLAS "
"FURY, COL. NICHOLAS ",RED SKULL/JOHANN SCH
CAPTAIN AMERICA,RED SKULL/JOHANN SCH
WASP/JANET VAN DYNE ,ANT-MAN/DR. HENRY J.
WASP/JANET VAN DYNE ,LOKI [ASGARDIAN]
LOKI [ASGARDIAN],ANT-MAN/DR. HENRY J.
THOR/DR. DONALD BLAK,ANT-MAN/DR. HENRY J.
THOR/DR. DONALD BLAK,SPIDER-MAN/PETER PAR
THOR/DR. DONALD BLAK,WASP/JANET VAN DYNE 
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
THOR/DR. DONALD BLAK,VULTURE/ADRIAN TOOME
THOR/DR. DONALD BLAK,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,ANT-MAN/DR. HENRY J.
IRON MAN/TONY STARK ,SPIDER-MAN/PETER PAR
IRON MAN/TONY STARK ,WASP/JANET VAN DYNE 
IRON MAN/TONY STARK ,CAPTAIN AMERICA
IRON MAN/TONY STARK ,VULTURE/ADRIAN TOOME
VULTURE/ADRIAN TOOME,ANT-MAN/DR. HENRY J.
VULTURE/ADRIAN TOOME,SPIDER-MAN/PETER PAR
VULTURE/ADRIAN TOOME,WASP/JANET VAN DYNE 
VULTURE/ADRIAN TOOME,CAPTAIN AMERICA
CAPTAIN AMERICA,ANT-MAN/DR. HENRY J.
CAPTAIN AMERICA,SPIDER-MAN/PETER PAR
CAPTAIN AMERICA,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,ANT-MAN/DR. HENRY J.
WASP/JANET VAN DYNE ,SPIDER-MAN/PETER PAR
SPIDER-MAN/PETER PAR,ANT-MAN/DR. HENRY J.
SPIDER-MAN/PETER PAR,CAPTAIN AMERICA
VISION ,SCARLET WITCH/WANDA 
VISION ,THOR/DR. DONALD BLAK
VISION ,SCARLET WITCH/WANDA 
VISION ,CAPTAIN AMERICA
VISION ,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,THOR/DR. DONALD BLAK
WASP/JANET VAN DYNE ,SCARLET WITCH/WANDA 
WASP/JANET VAN DYNE ,CAPTAIN AMERICA
CAPTAIN AMERICA,THOR/DR. DONALD BLAK
CAPTAIN AMERICA,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,THOR/DR. DONALD BLAK
IRON MAN/TONY STARK ,CAPTAIN AMERICA
BLACK PANTHER/T'CHAL,CAPTAIN AMERICA
CAPTAIN AMERICA,WASP/JANET VAN DYNE 
ANT-MAN/DR. HENRY J.,CAPTAIN AMERICA
ANT-MAN/DR. HENRY J.,IRON MAN/TONY STARK 
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
ANT-MAN/DR. HENRY J.,VISION 
ANT-MAN/DR. HENRY J.,SCARLET WITCH/WANDA 
ANT-MAN/DR. HENRY J.,THOR/DR. DONALD BLAK
ANT-MAN/DR. HENRY J.,BLACK PANTHER/T'CHAL
BLACK PANTHER/T'CHAL,CAPTAIN AMERICA
BLACK PANTHER/T'CHAL,IRON MAN/TONY STARK 
BLACK PANTHER/T'CHAL,WASP/JANET VAN DYNE 
BLACK PANTHER/T'CHAL,VISION 
BLACK PANTHER/T'CHAL,SCARLET WITCH/WANDA 
BLACK PANTHER/T'CHAL,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
THOR/DR. DONALD BLAK,IRON MAN/TONY STARK 
THOR/DR. DONALD BLAK,WASP/JANET VAN DYNE 
THOR/DR. DONALD BLAK,VISION 
THOR/DR. DONALD BLAK,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,CAPTAIN AMERICA
SCARLET WITCH/WANDA ,IRON MAN/TONY STARK 
SCARLET WITCH/WANDA ,WASP/JANET VAN DYNE 
SCARLET WITCH/WANDA ,VISION 
VISION ,CAPTAIN AMERICA
VISION ,IRON MAN/TONY STARK 
VISION ,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,CAPTAIN AMERICA
WASP/JANET VAN DYNE ,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,CAPTAIN AMERICA
CAPTAIN AMERICA,"CARTER, SHARON"
"CARTER, SHARON",CAPTAIN AMERICA
IRON MAN/TONY STARK ,CAPTAIN AMERICA
IRON MAN/TONY STARK ,RED SKULL/JOHANN SCH
IRON MAN/TONY STARK ,"CARTER, SHARON"
"CARTER, SHARON",CAPTAIN AMERICA
"CARTER, SHARON",RED SKULL/JOHANN SCH
RED SKULL/JOHANN SCH,CAPTAIN AMERICA
"CARTER, SHARON",RED SKULL/JOHANN SCH
"CARTER, SHARON",CAPTAIN AMERICA
"CARTER, SHARON",IRON MAN/TONY STARK 
"CARTER, SHARON",THOR/DR. DONALD BLAK
"CARTER, SHARON",SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,RED SKULL/JOHANN SCH
SCARLET WITCH/WANDA ,CAPTAIN AMERICA
SCARLET WITCH/WANDA ,IRON MAN/TONY STARK 
SCARLET WITCH/WANDA ,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,RED SKULL/JOHANN SCH
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
THOR/DR. DONALD BLAK,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,RED SKULL/JOHANN SCH
IRON MAN/TONY STARK ,CAPTAIN AMERICA
CAPTAIN AMERICA,RED SKULL/JOHANN SCH
"CARTER, SHARON",CAPTAIN AMERICA
"CARTER, SHARON",RED SKULL/JOHANN SCH
RED SKULL/JOHANN SCH,CAPTAIN AMERICA
ANT-MAN/DR. HENRY J.,HAWK
ANT-MAN/DR. HENRY J.,VISION 
ANT-MAN/DR. HENRY J.,THOR/DR. DONALD BLAK
ANT-MAN/DR. HENRY J.,IRON MAN/TONY STARK 
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
ANT-MAN/DR. HENRY J.,CAPTAIN AMERICA
ANT-MAN/DR. HENRY J.,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,HAWK
SCARLET WITCH/WANDA ,VISION 
SCARLET WITCH/WANDA ,THOR/DR. DONALD BLAK
SCARLET WITCH/WANDA ,IRON MAN/TONY STARK 
SCARLET WITCH/WANDA ,WASP/JANET VAN DYNE 
SCARLET WITCH/WANDA ,CAPTAIN AMERICA
CAPTAIN AMERICA,HAWK
CAPTAIN AMERICA,VISION 
CAPTAIN AMERICA,THOR/DR. DONALD BLAK
CAPTAIN AMERICA,IRON MAN/TONY STARK 
CAPTAIN AMERICA,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,HAWK
WASP/JANET VAN DYNE ,VISION 
WASP/JANET VAN DYNE ,THOR/DR. DONALD BLAK
WASP/JANET VAN DYNE ,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,HAWK
IRON MAN/TONY STARK ,VISION 
IRON MAN/TONY STARK ,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,HAWK
THOR/DR. DONALD BLAK,VISION 
VISION ,HAWK
IRON MAN/TONY STARK ,CAPTAIN AMERICA
IRON MAN/TONY STARK ,HAWK
IRON MAN/TONY STARK ,ANT-MAN/DR. HENRY J.
IRON MAN/TONY STARK ,VISION 
IRON MAN/TONY STARK ,SCARLET WITCH/WANDA 
IRON MAN/TONY STARK ,WASP/JANET VAN DYNE 
IRON MAN/TONY STARK ,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
THOR/DR. DONALD BLAK,HAWK
THOR/DR. DONALD BLAK,ANT-MAN/DR. HENRY J.
THOR/DR. DONALD BLAK,VISION 
THOR/DR. DONALD BLAK,SCARLET WITCH/WANDA 
THOR/DR. DONALD BLAK,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,CAPTAIN AMERICA
WASP/JANET VAN DYNE ,HAWK
WASP/JANET VAN DYNE ,ANT-MAN/DR. HENRY J.
WASP/JANET VAN DYNE ,VISION 
WASP/JANET VAN DYNE ,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,CAPTAIN AMERICA
SCARLET WITCH/WANDA ,HAWK
SCARLET WITCH/WANDA ,ANT-MAN/DR. HENRY J.
SCARLET WITCH/WANDA ,VISION 
VISION ,CAPTAIN AMERICA
VISION ,HAWK
VISION ,ANT-MAN/DR. HENRY J.
ANT-MAN/DR. HENRY J.,CAPTAIN AMERICA
ANT-MAN/DR. HENRY J.,HAWK
HAWK,CAPTAIN AMERICA
IRON MAN/TONY STARK ,HAWK
IRON MAN/TONY STARK ,CAPTAIN AMERICA
IRON MAN/TONY STARK ,WASP/JANET VAN DYNE 
IRON MAN/TONY STARK ,SCARLET WITCH/WANDA 
IRON MAN/TONY STARK ,VISION 
IRON MAN/TONY STARK ,THOR/DR. DONALD BLAK
IRON MAN/TONY STARK ,BLACK PANTHER/T'CHAL
IRON MAN/TONY STARK ,ANT-MAN/DR. HENRY J.
ANT-MAN/DR. HENRY J.,HAWK
ANT-MAN/DR. HENRY J.,CAPTAIN AMERICA
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
ANT-MAN/DR. HENRY J.,SCARLET WITCH/WANDA 
ANT-MAN/DR. HENRY J.,VISION 
ANT-MAN/DR. HENRY J.,THOR/DR. DONALD BLAK
ANT-MAN/DR. HENRY J.,BLACK PANTHER/T'CHAL
BLACK PANTHER/T'CHAL,HAWK
BLACK PANTHER/T'CHAL,CAPTAIN AMERICA
BLACK PANTHER/T'CHAL,WASP/JANET VAN DYNE 
BLACK PANTHER/T'CHAL,SCARLET WITCH/WANDA 
BLACK PANTHER/T'CHAL,VISION 
BLACK PANTHER/T'CHAL,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,HAWK
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
THOR/DR. DONALD BLAK,WASP/JANET VAN DYNE 
THOR/DR. DONALD BLAK,SCARLET WITCH/WANDA 
THOR/DR. DONALD BLAK,VISION 
VISION ,HAWK
VISION ,CAPTAIN AMERICA
VISION ,WASP/JANET VAN DYNE 
VISION ,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,HAWK
SCARLET WITCH/WANDA ,CAPTAIN AMERICA
SCARLET WITCH/WANDA ,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,HAWK
WASP/JANET VAN DYNE ,CAPTAIN AMERICA
CAPTAIN AMERICA,HAWK
BLACK WIDOW/NATASHA ,SCARLET WITCH/WANDA 
BLACK WIDOW/NATASHA ,CAPTAIN MARVEL/CAPTA
BLACK WIDOW/NATASHA ,HAWK
BLACK WIDOW/NATASHA ,BLACK PANTHER/T'CHAL
BLACK WIDOW/NATASHA ,ANT-MAN/DR. HENRY J.
BLACK WIDOW/NATASHA ,ODIN [ASGARDIAN]
BLACK WIDOW/NATASHA ,WASP/JANET VAN DYNE 
BLACK WIDOW/NATASHA ,"FURY, COL. NICHOLAS "
BLACK WIDOW/NATASHA ,IRON MAN/TONY STARK 
BLACK WIDOW/NATASHA ,THOR/DR. DONALD BLAK
BLACK WIDOW/NATASHA ,CAPTAIN AMERICA
CAPTAIN AMERICA,SCARLET WITCH/WANDA 
CAPTAIN AMERICA,CAPTAIN MARVEL/CAPTA
CAPTAIN AMERICA,HAWK
CAPTAIN AMERICA,BLACK PANTHER/T'CHAL
CAPTAIN AMERICA,ANT-MAN/DR. HENRY J.
CAPTAIN AMERICA,ODIN [ASGARDIAN]
CAPTAIN AMERICA,WASP/JANET VAN DYNE 
CAPTAIN AMERICA,"FURY, COL. NICHOLAS "
CAPTAIN AMERICA,IRON MAN/TONY STARK 
CAPTAIN AMERICA,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,SCARLET WITCH/WANDA 
THOR/DR. DONALD BLAK,CAPTAIN MARVEL/CAPTA
THOR/DR. DONALD BLAK,HAWK
THOR/DR. DONALD BLAK,BLACK PANTHER/T'CHAL
THOR/DR. DONALD BLAK,ANT-MAN/DR. HENRY J.
THOR/DR. DONALD BLAK,ODIN [ASGARDIAN]
THOR/DR. DONALD BLAK,WASP/JANET VAN DYNE 
THOR/DR. DONALD BLAK,"FURY, COL. NICHOLAS "
THOR/DR. DONALD BLAK,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,SCARLET WITCH/WANDA 
IRON MAN/TONY STARK ,CAPTAIN MARVEL/CAPTA
IRON MAN/TONY STARK ,HAWK
IRON MAN/TONY STARK ,BLACK PANTHER/T'CHAL
IRON MAN/TONY STARK ,ANT-MAN/DR. HENRY J.
IRON MAN/TONY STARK ,ODIN [ASGARDIAN]
IRON MAN/TONY STARK ,WASP/JANET VAN DYNE 
IRON MAN/TONY STARK ,"FURY, COL. NICHOLAS "
"FURY, COL. NICHOLAS ",SCARLET WITCH/WANDA 
"FURY, COL. NICHOLAS ",CAPTAIN MARVEL/CAPTA
"FURY, COL. NICHOLAS ",HAWK
"FURY, COL. NICHOLAS ",BLACK PANTHER/T'CHAL
"FURY, COL. NICHOLAS ",ANT-MAN/DR. HENRY J.
"FURY, COL. NICHOLAS ",ODIN [ASGARDIAN]
"FURY, COL. NICHOLAS ",WASP/JANET VAN DYNE 
